code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
565997;Bitozeves;343;167;165;10;0;0;8;3;25;3;0;0;0;0;14;0;2;74;1;0;4;0;0;0;1;19;1
566004;Blatno;455;254;252;14;0;0;15;7;64;2;4;4;1;0;13;0;6;75;0;0;6;0;0;0;6;33;2
566012;Blažim;192;99;99;15;0;0;10;3;8;2;4;6;0;0;6;0;9;20;0;0;0;0;0;0;0;14;2
566021;Blšany;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
542547;Blšany u Loun;251;155;155;19;0;0;10;5;16;1;1;4;1;0;8;0;14;54;0;1;0;0;1;0;0;19;1
546895;Brodec;74;55;55;3;0;0;4;2;11;0;0;0;0;0;8;0;0;25;0;0;0;0;0;0;1;1;0
566063;Břvany;260;110;110;1;0;0;5;0;13;1;3;6;0;0;3;0;1;52;0;3;0;0;0;0;1;21;0
542571;Cítoliby;865;524;520;123;1;0;33;5;40;7;1;2;1;2;46;0;22;166;0;2;9;0;1;1;1;56;1
530581;Čeradice;237;138;138;16;0;0;6;4;21;0;0;2;1;0;12;1;4;42;0;1;4;0;1;1;2;20;0
542628;Černčice;1 070;643;643;43;3;2;48;21;91;6;6;5;1;1;36;1;28;240;0;2;17;0;3;2;3;84;0
566128;Deštnice;151;79;79;2;1;0;7;1;7;1;0;0;0;0;5;0;1;35;0;0;2;0;0;0;0;17;0
546861;Dobroměřice;1 092;726;721;56;0;0;37;17;127;10;14;9;0;0;57;0;33;253;0;5;9;0;6;0;1;83;4
566152;Domoušice;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
566187;Holedeč;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
566195;Hříškov;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
566217;Hřivice;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
566233;Chlumčany;454;291;290;34;0;0;14;4;29;6;4;1;1;0;14;0;23;111;0;1;6;0;2;0;1;36;3
566241;Chožov;435;204;203;15;0;0;18;5;25;3;3;1;0;2;21;0;5;79;0;0;0;0;0;0;2;24;0
546429;Chraberce;100;68;68;10;0;0;2;4;10;0;7;0;1;0;2;0;0;21;0;0;2;0;0;1;1;7;0
546011;Jimlín;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
566284;Koštice;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
530557;Kozly;120;73;73;6;0;0;4;1;4;0;0;0;0;0;6;0;3;31;0;0;0;0;0;0;8;9;1
566306;Krásný Dvůr;556;318;316;29;0;0;21;7;46;8;2;4;0;0;25;0;8;115;0;1;5;0;1;0;0;39;5
